"Chr" "Gene" "nSNPs" "nSims" "Start" "Stop" "Test" "Pvalue" "Best-SNP" "SNP-pvalue"
1 "A3GALT2" 84 1000 33544953 33559286 82.7211201653775 0.519 "rs10914692" 0.519
1 "AADACL3" 129 1000 12698704 12711313 123.298720310255 0.625 "rs2489260" 0.625
1 "AADACL4" 110 1000 12627152 12649684 115.294036752951 0.346 "rs11121950" 0.346
1 "ACADM" 136 1000 75962630 76001943 123.236713535599 0.776 "rs11161626" 0.776
1 "ACBD6" 275 1000 178523987 178738102 304.03827430987 0.11023 "rs6671901" 0.11023
1 "ACOT11" 190 1000 54786488 54873005 198.803865556867 0.316 "rs501260" 0.316
1 "ACOT7" 120 1e+05 6246918 6376413 154.646368064106 0.01815 "rs34064241" 0.01815
1 "ACP6" 107 1000 145585791 145609258 100.930114154739 0.647 "rs11804045" 0.647
1 "ACTA1" 50 1e+05 227633615 227636466 64.7260328280213 0.07869 "rs500639" 0.07869
1 "ACTRT2" 89 1000 2927905 2929327 98.3284822515416 0.234 "rs10909862" 0.234
1 "ADAM15" 63 1000 153290385 153301876 76.7018077819524 0.115 "rs11264306" 0.115
1 "ADAM30" 75 1000 120237678 120240636 62.3185866805378 0.852 "rs2793837" 0.852
1 "ADAR" 87 1000 152821157 152867061 68.5429126113475 0.928 "rs3766924" 0.928
1 "ADC" 61 1000 33319300 33358582 55.3463903312176 0.68 "rs676069" 0.68
1 "ADIPOR1" 99 1000 201176583 201194323 108.520678623816 0.241 "rs4950887" 0.241
1 "ADORA3" 185 1e+05 111827492 111908120 212.86013172162 0.07843 "rs1264901" 0.07843
1 "AFAR3" 83 1000 19465062 19473022 70.9691017828676 0.824 "rs12146076" 0.824
1 "AGL" 184 1000 100088227 100162167 167.691395296468 0.8 "rs903125" 0.8
1 "AGRN" 32 1000 945365 981355 21.5053364900586 0.92 "rs4075116" 0.92
1 "AGT" 236 1000 228904891 228916959 227.017629662736 0.651 "rs2478516" 0.651
1 "AGTRAP" 102 1000 11718728 11733415 95.5782539278221 0.66 "rs6419479" 0.66
1 "AHCTF1" 126 1000 245069024 245148302 125.492707978002 0.496 "rs11581030" 0.496
1 "AHCYL1" 69 1000 110328830 110367887 50.5944728521746 0.953 "rs11589677" 0.953
1 "AHDC1" 31 1000 27733342 27802730 34.5009047663625 0.304 "rs4373782" 0.304
1 "AIDA" 58 1e+05 220907977 220952487 72.8289078410289 0.09092 "rs17531580" 0.09092
1 "AIM1L" 147 1000 26520936 26543030 140.200241693356 0.642 "rs4659431" 0.642
1 "AJAP1" 373 1e+05 4614964 4743711 459.80811028149 0.00142 "rs763219" 0.00142
1 "AK2" 53 1000 33246172 33275079 39.0865919161211 0.923 "rs2268692" 0.923
1 "AK3L1" 142 1000 65385819 65465763 132.61025893005 0.702 "rs4469745" 0.702
1 "AK5" 442 1000 77520329 77798242 407.202396532889 0.881 "rs3104467" 0.881
1 "AKIRIN1" 65 1000 39229503 39243566 65.0478665106303 0.475 "rs12756255" 0.475
1 "AKR1A1" 59 1000 45789084 45808308 55.9945243035336 0.587 "rs945179" 0.587
1 "AKR7A2" 106 1000 19503048 19511227 106.429782948227 0.47 "rs12128747" 0.47
1 "ALDH4A1" 96 1e+05 19070512 19101659 119.647920826635 0.05145 "rs9117" 0.05145
1 "ALDH9A1" 191 1000 163898072 163934524 179.023351425013 0.723 "rs6426918" 0.723
