"Chr" "Gene" "nSNPs" "nSims" "Start" "Stop" "Test" "Pvalue" "Best-SNP" "SNP-pvalue"
1 "A3GALT2" 85 1e+06 33544953 33559286 155.337795203134 5e-06 "rs16835401" 5e-06
1 "AADACL3" 132 1000 12698704 12711313 123.508115642056 0.689 "rs3000858" 0.689
1 "AADACL4" 112 1000 12627152 12649684 114.256019293181 0.423 "rs3010874" 0.423
1 "ACADM" 141 1000 75962630 76001943 146.239000912633 0.364 "rs1146648" 0.364
1 "ACBD6" 287 1e+05 178523987 178738102 357.989833323794 0.00275 "rs17300107" 0.00275
1 "ACOT11" 193 1000 54786488 54873005 182.451159095514 0.696 "rs12049215" 0.696
1 "ACOT7" 93 1000 6246918 6376413 99.1525452082487 0.312 "rs2092412" 0.312
1 "ACP6" 107 1000 145585791 145609258 118.363045114334 0.213 "rs867270" 0.213
1 "ACTA1" 54 1e+05 227633615 227636466 81.9384911254975 0.00842 "rs11800554" 0.00842
1 "ACTL8" 165 1e+05 17954430 18026145 198.098278253726 0.04016 "rs560514" 0.04016
1 "ACTRT2" 96 1000 2927905 2929327 87.0468490963598 0.732 "rs3795263" 0.732
1 "ADAM15" 54 1000 153290385 153301876 53.9321824289284 0.477 "rs11264318" 0.477
1 "ADAM30" 79 1e+06 120237678 120240636 435.584321041677 0 "rs2493393" 1e-50
1 "ADAMTS4" 73 1000 159426161 159435469 63.3347709591312 0.783 "rs6413452" 0.783
1 "ADAR" 94 1000 152821157 152867061 74.4304542476929 0.932 "rs7553602" 0.932
1 "ADC" 69 1000 33319300 33358582 80.4063677912248 0.164 "rs84314" 0.164
1 "ADIPOR1" 102 1000 201176583 201194323 95.8017408742169 0.654 "rs705754" 0.654
1 "AFAR3" 76 1000 19465062 19473022 86.8216114026651 0.186 "rs12123817" 0.186
1 "AGL" 187 1000 100088227 100162167 183.047688663334 0.568 "rs12035706" 0.568
1 "AGRN" 30 1000 945365 981355 22.4026314342566 0.839 "rs2341354" 0.839
1 "AGT" 239 1000 228904891 228916959 248.688730629289 0.32 "rs12143774" 0.32
1 "AGTRAP" 104 1000 11718728 11733415 111.623427981987 0.287 "rs4845874" 0.287
1 "AHCTF1" 116 1000 245069024 245148302 117.485198092032 0.444 "rs12122102" 0.444
1 "AHCYL1" 80 1000 110328830 110367887 80.0626532646808 0.477 "rs7367104" 0.477
1 "AHDC1" 45 1000 27733342 27802730 48.4373483947684 0.336 "rs12076783" 0.336
1 "AIDA" 31 1000 220907977 220952487 30.9249324001759 0.47 "rs4240934" 0.47
1 "AIM1L" 144 1e+05 26520936 26543030 181.732518296064 0.01818 "rs4659430" 0.01818
1 "AJAP1" 388 1e+05 4614964 4743711 432.543952570985 0.05875 "rs13376666" 0.05875
1 "AK2" 56 1000 33246172 33275079 64.7411469489338 0.198 "rs6884" 0.198
1 "AK3L1" 142 1000 65385819 65465763 149.881424177551 0.309 "rs12409392" 0.309
1 "AK5" 444 1e+05 77520329 77798242 504.846591590529 0.02399 "rs9787306" 0.02399
1 "AKIRIN1" 66 1000 39229503 39243566 62.827248643141 0.588 "rs7532807" 0.588
1 "AKR1A1" 58 1000 45789084 45808308 53.8031482696327 0.632 "rs885755" 0.632
1 "AKR7A2" 98 1000 19503048 19511227 98.5996262155907 0.464 "rs4912069" 0.464
1 "ALDH4A1" 89 1000 19070512 19101659 94.5769661584991 0.323 "rs6687144" 0.323
1 "ALDH9A1" 193 1000 163898072 163934524 213.8334551875 0.145 "rs12081903" 0.145
1 "ALG14" 163 1000 95220884 95311071 149.776579341128 0.763 "rs4950076" 0.763
1 "ALPL" 185 1000 21708444 21777492 178.975050638453 0.611 "rs11586663" 0.611
1 "ALX3" 71 1000 110404519 110414845 64.3657326519693 0.698 "rs3820664" 0.698
1 "AMIGO1" 77 1000 109850968 109853859 90.0949014004896 0.146 "rs749056" 0.146
1 "AMPD2" 79 1000 109963981 109976200 79.7886793739917 0.454 "rs650985" 0.454
1 "AMY1A-3" 19 1e+05 104093801 104102834 32.9734829599621 0.02421 "rs12718033" 0.02421
1 "AMY1B-1" 4 1000 103999847 104008695 7.29702374970291 0.121 "rs1178000" 0.121
1 "AMY1C-1" 4 1000 103999825 104008695 4.48777088812951 0.344 "rs1178000" 0.344
1 "AMY1C-3" 19 1000 104093963 104102833 14.248785118375 0.769 "rs12718033" 0.769
1 "AMY2A" 12 1000 103961521 103969923 5.94154472772592 0.919 "rs1178000" 0.919
1 "AMY2B" 21 1000 103898844 103923672 17.0347094275397 0.709 "rs1178000" 0.709
1 "ANGEL2" 58 1000 211232146 211255791 55.3352804494033 0.575 "rs3104213" 0.575
1 "ANGPTL3" 48 1000 62835774 62843768 42.1589568470194 0.71 "rs3850634" 0.71
1 "ANKRD13C" 81 1000 70497272 70593005 66.6852172528614 0.874 "rs12141753" 0.874
1 "ANKRD35" 42 1000 144260565 144279883 27.0790620420765 0.964 "rs17352281" 0.964
1 "ANKRD45" 54 1000 171844097 171905624 41.9357854924755 0.884 "rs7539322" 0.884
1 "ANXA9" 67 1000 149221122 149234738 60.4812203921365 0.7 "rs267733" 0.7
1 "AOF2" 62 1000 23218532 23282771 64.6871156607046 0.383 "rs7534311" 0.383
1 "APITD1" 73 1000 10412745 10434797 71.3436921592574 0.533 "rs636291" 0.533
1 "APOA1BP" 82 1000 154828181 154830715 66.26331758067 0.897 "rs4587556" 0.897
