"Chr" "Gene" "nSNPs" "nSims" "Start" "Stop" "Test" "Pvalue" "Best-SNP" "SNP-pvalue"
1 "A3GALT2" 86 1000 33544953 33559286 88.3395684836383 0.41 "rs4653027" 0.41
1 "AADACL3" 132 1000 12698704 12711313 117.620755969088 0.81 "rs4240904" 0.81
1 "AADACL4" 112 1000 12627152 12649684 114.52804514265 0.416 "rs3010936" 0.416
1 "ACADM" 141 1000 75962630 76001943 138.365661098006 0.547 "rs6686290" 0.547
1 "ACBD6" 287 1000 178523987 178738102 245.142247631806 0.965 "rs357047" 0.965
1 "ACOT11" 194 1e+05 54786488 54873005 246.495714387561 0.00639 "rs2133003" 0.00639
1 "ACOT7" 93 1000 6246918 6376413 73.9722792799365 0.927 "rs761109" 0.927
1 "ACP6" 107 1000 145585791 145609258 99.8178906731003 0.676 "rs11240101" 0.676
1 "ACTA1" 54 1000 227633615 227636466 42.9921276984059 0.859 "rs10799528" 0.859
1 "ACTRT2" 96 1000 2927905 2929327 113.299628934127 0.10973 "rs12566421" 0.10973
1 "ADAM15" 54 1e+05 153290385 153301876 72.3940729493535 0.04806 "rs11589479" 0.04806
1 "ADAM30" 79 1000 120237678 120240636 86.1710402290624 0.272 "rs3795666" 0.272
1 "ADAR" 94 1000 152821157 152867061 100.027221843467 0.316 "rs6699825" 0.316
1 "ADC" 69 1000 33319300 33358582 63.4768778306092 0.665 "rs10429857" 0.665
1 "ADIPOR1" 102 1e+05 201176583 201194323 141.095429721945 0.0063 "rs782808" 0.0063
1 "AFAR3" 76 1e+05 19465062 19473022 113.596402474802 0.00339 "rs2294943" 0.00339
1 "AGL" 187 1000 100088227 100162167 194.624891980281 0.336 "rs2035958" 0.336
1 "AGRN" 30 1000 945365 981355 30.8663255257255 0.422 "rs3121561" 0.422
1 "AGT" 239 1000 228904891 228916959 257.261516443127 0.199 "rs11568046" 0.199
1 "AGTRAP" 103 1e+06 11718728 11733415 162.539413369758 0.000167 "rs2274976" 0.000167
1 "AHCTF1" 116 1000 245069024 245148302 95.9094768827278 0.913 "rs3935608" 0.913
1 "AHCYL1" 80 1e+06 110328830 110367887 437.674828191878 0 "rs390923" 1e-50
1 "AHDC1" 45 1000 27733342 27802730 51.5494979626946 0.233 "rs2231863" 0.233
1 "AIDA" 31 1000 220907977 220952487 27.5947553329146 0.642 "rs3008634" 0.642
1 "AIM1L" 144 1000 26520936 26543030 155.450724429801 0.243 "rs12137896" 0.243
1 "AJAP1" 388 1000 4614964 4743711 369.28703352655 0.745 "rs11590266" 0.745
1 "AK2" 56 1000 33246172 33275079 67.5868178054799 0.138 "rs4412566" 0.138
1 "AK3L1" 143 1000 65385819 65465763 108.802886411493 0.985 "rs2265067" 0.985
1 "AK5" 444 1000 77520329 77798242 428.070216281125 0.698 "rs6684022" 0.698
1 "AKIRIN1" 66 1000 39229503 39243566 54.7908014267425 0.836 "rs1984600" 0.836
1 "AKR1A1" 58 1000 45789084 45808308 45.8485699022765 0.876 "rs518216" 0.876
1 "AKR7A2" 98 1000 19503048 19511227 83.1492724968109 0.858 "rs17477654" 0.858
1 "ALDH4A1" 89 1e+05 19070512 19101659 116.989079543581 0.025 "rs4912056" 0.025
1 "ALDH9A1" 193 1000 163898072 163934524 171.425087462593 0.866 "rs4147596" 0.866
1 "ALG14" 163 1e+05 95220884 95311071 194.122020302292 0.04834 "rs6667676" 0.04834
1 "ALPL" 185 1000 21708444 21777492 177.937633932753 0.632 "rs7547128" 0.632
1 "ALX3" 71 1000 110404519 110414845 70.4533508443529 0.496 "rs186724" 0.496
1 "AMIGO1" 76 1000 109850968 109853859 67.5398593092393 0.745 "rs7550711" 0.745
1 "AMPD2" 79 1000 109963981 109976200 71.442574716912 0.715 "rs17024393" 0.715
1 "AMY1A-3" 19 1000 104093801 104102834 25.8298612044172 0.135 "rs1930212" 0.135
1 "AMY1B-1" 4 1000 103999847 104008695 3.7912048616322 0.435 "rs1150075" 0.435
1 "AMY1C-1" 4 1000 103999825 104008695 3.17486636400083 0.529 "rs1150075" 0.529
1 "AMY1C-3" 19 1000 104093963 104102833 24.0301076846356 0.195 "rs1930212" 0.195
1 "AMY2A" 12 1000 103961521 103969923 5.75337929889256 0.928 "rs17014930" 0.928
1 "AMY2B" 21 1e+05 103898844 103923672 35.9920905584871 0.02191 "rs17014930" 0.02191
1 "ANGEL2" 58 1000 211232146 211255791 55.415241065985 0.572 "rs10735511" 0.572
1 "ANGPTL3" 48 1000 62835774 62843768 40.8272421129066 0.759 "rs11207998" 0.759
1 "ANKRD13C" 81 1000 70497272 70593005 80.3025709802699 0.501 "rs12737233" 0.501
1 "ANKRD35" 42 1000 144260565 144279883 37.8651628602653 0.653 "rs2004659" 0.653
1 "ANXA9" 67 1000 149221122 149234738 70.7712409905882 0.353 "rs267738" 0.353
1 "AOF2" 63 1e+05 23218532 23282771 84.7840778457521 0.03504 "rs4654831" 0.03504
1 "APITD1" 73 1000 10412745 10434797 77.6817243134729 0.332 "rs17034849" 0.332
1 "APOA1BP" 82 1000 154828181 154830715 62.6295414950151 0.945 "rs4661178" 0.945
1 "APOA2" 94 1e+06 159458706 159460042 146.360388200578 0.000444 "rs1136224" 0.000444
1 "ARHGAP29" 139 1000 94407050 94475895 125.624025851421 0.785 "rs1931564" 0.785
1 "ARHGAP30" 83 1000 159283355 159306384 89.5176036106832 0.293 "rs6695707" 0.293
1 "ARHGEF10L" 193 1000 17738916 17896957 185.543959805455 0.637 "rs4920376" 0.637
1 "ARHGEF11" 231 1000 155171255 155281786 237.70246771496 0.367 "rs12566888" 0.367
1 "ARHGEF16" 68 1000 3361006 3387537 80.5333806833211 0.142 "rs2493277" 0.142
1 "ARHGEF19" 78 1000 16397185 16411691 63.3046316022904 0.886 "rs12408442" 0.886
1 "ARID1A" 27 1000 26895108 26981188 31.9484182460897 0.234 "rs12746810" 0.234
1 "ARID4B" 138 1000 233396832 233558155 155.150193363861 0.151 "rs3765792" 0.151
1 "ARL8A" 116 1e+05 200368599 200380489 148.142421733792 0.02359 "rs10920357" 0.02359
1 "ARNT" 61 1000 149048809 149115810 39.9594600634599 0.983 "rs10305724" 0.983
1 "ARV1" 96 1e+05 229181445 229203102 114.750752943092 0.09319 "rs12033207" 0.09319
1 "ASB17" 134 1000 76157147 76170704 121.431535366223 0.774 "rs12741705" 0.774
1 "ASH1L" 55 1000 153571675 153798948 61.8804895605087 0.244 "rs11264359" 0.244
1 "ASPM" 130 1000 195319879 195382447 126.559531058462 0.569 "rs12085377" 0.569
1 "ASTN1" 401 1000 175096825 175400647 333.402546586872 0.994 "rs10913280" 0.994
1 "ATAD3B" 19 1e+05 1397026 1421445 39.0746360201619 0.00432 "rs9439432" 0.00432
1 "ATF6" 403 1000 160002707 160195476 410.683160569961 0.385 "rs3767635" 0.385
1 "ATG4C" 162 1e+06 63022390 63102638 254.155161603804 5e-06 "rs2184192" 5e-06
1 "ATP13A2" 69 1e+05 17185039 17210854 87.2009289227812 0.06857 "rs2281376" 0.06857
1 "ATP1A1" 68 1000 116717358 116748919 69.6117607213261 0.423 "rs7521810" 0.423
1 "ATP1B1" 202 1000 167342570 167368584 189.578997068374 0.725 "rs10442649" 0.725
1 "ATP5F1" 121 1000 111793265 111806048 134.220939107223 0.194 "rs9025" 0.194
1 "ATPAF1" 131 1000 46870997 46906686 105.695010608967 0.949 "rs6671527" 0.949
1 "ATPIF1" 73 1000 28435197 28437198 61.2069937381745 0.836 "rs7516655" 0.836
1 "ATXN7L2" 77 1e+05 109828083 109836879 107.117002150125 0.01322 "rs7550711" 0.01322
1 "AURKAIP1" 9 1e+05 1298972 1300681 18.7909777931952 0.02703 "rs2649588" 0.02703
1 "B3GALNT2" 140 1000 233679867 233734404 116.137351808881 0.93 "rs12756717" 0.93
1 "B3GALT2" 57 1e+05 191414798 191422347 90.7682872941304 0.00296 "rs12085373" 0.00296
1 "B3GALT6" 40 1000 1157491 1160283 32.5647199152367 0.792 "rs11260562" 0.792
1 "BAI2" 66 1e+05 31965304 32002235 81.3836690733858 0.09609 "rs4949466" 0.09609
1 "BAT2D1" 219 1e+05 169721289 169829273 255.774871634776 0.04467 "rs7530400" 0.04467
1 "BATF3" 90 1000 210926382 210939950 90.4111726796356 0.468 "rs17674590" 0.468
1 "BCAR3" 123 1000 93799936 93919973 123.593724115814 0.468 "rs3767966" 0.468
1 "BCAS2" 47 1000 114911703 114925788 36.8200621277713 0.857 "rs222497" 0.857
1 "BCL10" 138 1000 85504047 85516171 137.250873745613 0.502 "rs17125439" 0.502
1 "BEST4" 53 1000 45021843 45026013 55.0490737183636 0.397 "rs11573587" 0.397
1 "BGLAP" 68 1000 154478574 154479736 55.6643350456471 0.858 "rs2842868" 0.858
1 "BLZF1" 150 1000 167603817 167632404 121.604687379424 0.957 "rs6696810" 0.957
1 "BOLA1" 24 1000 148137824 148138969 18.2040339851151 0.793 "rs10494363" 0.793
1 "BRDT" 97 1000 92187515 92252573 90.7250558926827 0.66 "rs4512703" 0.66
1 "BRP44" 63 1000 166153933 166171857 57.6426669911259 0.667 "rs10800333" 0.667
1 "BSND" 154 1000 55237204 55247053 148.852611744969 0.602 "rs11206514" 0.602
1 "BTF3L4" 57 1000 52294560 52326650 37.2702448708738 0.98 "rs3737583" 0.98
1 "BTG2" 106 1000 201541286 201545352 121.650371953218 0.142 "rs7543148" 0.142
1 "C1orf101" 235 1000 242691315 242870285 208.565870696078 0.892 "rs3123697" 0.892
1 "C1orf105" 175 1000 170656452 170704589 188.298325782073 0.233 "rs2227198" 0.233
1 "C1orf106" 100 1000 199127291 199151486 81.9981654001689 0.905 "rs10920059" 0.905
1 "C1orf107" 143 1e+05 208067955 208097531 183.686403690085 0.01229 "rs632746" 0.01229
1 "C1orf109" 128 1000 37919828 37928779 121.244409506576 0.651 "rs6426031" 0.651
1 "C1orf110" 190 1000 161090710 161105229 158.597076753574 0.953 "rs12044618" 0.953
1 "C1orf111" 171 1000 160610138 160613268 190.963009418323 0.141 "rs11577628" 0.141
1 "C1orf122" 29 1000 38046555 38047713 26.9574663001485 0.574 "rs582811" 0.574
