"Chr" "Gene" "nSNPs" "nSims" "Start" "Stop" "Test" "Pvalue" "Best-SNP" "SNP-pvalue"
1 "A3GALT2" 85 1e+06 33544953 33559286 131.245626052882 0.000961 "rs7523119" 0.000961
1 "AADACL3" 132 1000 12698704 12711313 112.985907858046 0.883 "rs7524074" 0.883
1 "AADACL4" 112 1000 12627152 12649684 128.381461725935 0.138 "rs4846128" 0.138
1 "ACADM" 141 1000 75962630 76001943 128.784961290601 0.761 "rs4638068" 0.761
1 "ACBD6" 287 1000 178523987 178738102 275.419046371521 0.678 "rs7536561" 0.678
1 "ACOT11" 194 1e+05 54786488 54873005 221.812251812464 0.08332 "rs498831" 0.08332
1 "ACOT7" 93 1000 6246918 6376413 108.488608635125 0.13 "rs6689940" 0.13
1 "ACP6" 107 1000 145585791 145609258 87.2336180257522 0.919 "rs17160530" 0.919
1 "ACTA1" 54 1000 227633615 227636466 50.4268939308107 0.613 "rs10753458" 0.613
1 "ACTRT2" 96 1e+05 2927905 2929327 138.272396999526 0.00309 "rs41334845" 0.00309
1 "ADAM15" 54 1000 153290385 153301876 63.3450465112203 0.18 "rs6427128" 0.18
1 "ADAM30" 79 1e+05 120237678 120240636 101.36794293311 0.04583 "rs2885848" 0.04583
1 "ADAR" 94 1000 152821157 152867061 94.5041600929559 0.466 "rs10908423" 0.466
1 "ADC" 69 1000 33319300 33358582 55.2559863310311 0.885 "rs591664" 0.885
1 "ADIPOR1" 102 1000 201176583 201194323 102.085277271112 0.479 "rs10920531" 0.479
1 "AFAR3" 76 1000 19465062 19473022 87.5986102706079 0.171 "rs4912064" 0.171
1 "AGL" 187 1000 100088227 100162167 177.920725008394 0.671 "rs482825" 0.671
1 "AGRN" 30 1000 945365 981355 17.6451841218088 0.964 "rs2465126" 0.964
1 "AGT" 239 1000 228904891 228916959 237.022156425933 0.524 "rs2148964" 0.524
1 "AGTRAP" 104 1e+06 11718728 11733415 175.127669694203 1.6e-05 "rs12045323" 1.6e-05
1 "AHCTF1" 115 1000 245069024 245148302 80.447876652374 0.994 "rs12127681" 0.994
1 "AHCYL1" 80 1e+05 110328830 110367887 100.778055995075 0.05816 "rs12060965" 0.05816
1 "AHDC1" 45 1000 27733342 27802730 52.1061082481385 0.217 "rs6598886" 0.217
1 "AIDA" 31 1000 220907977 220952487 30.5312684133788 0.49 "rs1053316" 0.49
1 "AIM1L" 144 1e+05 26520936 26543030 187.58422131506 0.00853 "rs12137896" 0.00853
1 "AJAP1" 388 1000 4614964 4743711 389.64270952865 0.467 "rs12736144" 0.467
1 "AK2" 56 1000 33246172 33275079 58.7514227187186 0.375 "rs3806246" 0.375
1 "AK3L1" 143 1000 65385819 65465763 163.17375523715 0.119 "rs4916035" 0.119
1 "AK5" 444 1e+05 77520329 77798242 494.369495198266 0.04922 "rs11162298" 0.04922
1 "AKIRIN1" 66 1000 39229503 39243566 63.027190708278 0.581 "rs9659976" 0.581
