"Chr" "Gene" "nSNPs" "nSims" "Start" "Stop" "Test" "Pvalue" "Best-SNP" "SNP-pvalue"
1 "A3GALT2" 81 1000 33544953 33559286 83.9925916690399 0.388 "rs4653017" 0.388
1 "AADACL3" 109 1000 12698704 12711313 92.2800507159832 0.875 "rs17346571" 0.875
1 "AADACL4" 88 1000 12627152 12649684 81.1607242662675 0.684 "rs12067701" 0.684
1 "ACADM" 133 1000 75962630 76001943 124.654072161735 0.685 "rs1144333" 0.685
1 "ACBD6" 265 1000 178523987 178738102 257.076290059221 0.625 "rs822723" 0.625
1 "ACOT11" 178 1e+06 54786488 54873005 252.970719997676 0.000188 "rs11803116" 0.000188
1 "ACOT7" 79 1000 6246918 6376413 56.6409983160169 0.973 "rs3789512" 0.973
1 "ACP6" 98 1000 145585791 145609258 111.132887558156 0.172 "rs1001193" 0.172
1 "ACTA1" 44 1000 227633615 227636466 48.1955652061596 0.307 "rs598392" 0.307
1 "ACTRT2" 85 1000 2927905 2929327 66.2664070812984 0.934 "rs2376821" 0.934
1 "ADAM15" 49 1000 153290385 153301876 38.021738469221 0.872 "rs4845402" 0.872
1 "ADAM30" 71 1000 120237678 120240636 70.4830964793501 0.495 "rs17024521" 0.495
1 "ADAR" 83 1e+06 152821157 152867061 139.699609045869 9.9e-05 "rs6660775" 9.9e-05
1 "ADC" 65 1e+05 33319300 33358582 81.1236470515518 0.08549 "rs804429" 0.08549
1 "ADIPOR1" 92 1000 201176583 201194323 92.4231087560315 0.468 "rs3766572" 0.468
1 "AFAR3" 70 1000 19465062 19473022 67.6025946076169 0.559 "rs4483432" 0.559
1 "AGL" 174 1000 100088227 100162167 157.244162532362 0.814 "rs7513618" 0.814
1 "AGRN" 19 1000 945365 981355 23.1453601918868 0.231 "rs11579015" 0.231
1 "AGT" 230 1000 228904891 228916959 210.288937182203 0.82 "rs12091328" 0.82
1 "AGTRAP" 93 1e+06 11718728 11733415 172.74733710978 1e-06 "rs10218813" 1e-06
