"Chr" "Gene" "nSNPs" "nSims" "Start" "Stop" "Test" "Pvalue" "Best-SNP" "SNP-pvalue"
1 "A3GALT2" 79 1000 33544953 33559286 76.8042717098976 0.549 "rs4233199" 0.549
1 "AADACL3" 107 1000 12698704 12711313 107.730598577521 0.462 "rs17038468" 0.462
1 "AADACL4" 91 1000 12627152 12649684 95.1982126108702 0.361 "rs3010928" 0.361
1 "ACADM" 132 1e+05 75962630 76001943 155.907631750288 0.07616 "rs1146579" 0.07616
1 "ACBD6" 263 1e+05 178523987 178738102 301.243587429508 0.05244 "rs357058" 0.05244
1 "ACOT11" 181 1000 54786488 54873005 182.730037390226 0.45 "rs1655528" 0.45
1 "ACOT7" 74 1000 6246918 6376413 64.9718101988068 0.764 "rs17029376" 0.764
1 "ACP6" 96 1000 145585791 145609258 107.968196115006 0.19 "rs3766509" 0.19
1 "ACTA1" 44 1000 227633615 227636466 48.6569577915272 0.291 "rs506388" 0.291
1 "ACTRT2" 86 1000 2927905 2929327 70.3682865929565 0.889 "rs4648445" 0.889
1 "ADAM15" 46 1000 153290385 153301876 27.5210937134015 0.986 "rs2306124" 0.986
1 "ADAM30" 73 1000 120237678 120240636 67.4898870831656 0.66 "rs2843024" 0.66
1 "ADAMTSL4" 47 1000 148788521 148800036 59.1504732057205 0.11 "rs11204666" 0.11
1 "ADAR" 80 1000 152821157 152867061 59.7530810928222 0.956 "rs7523890" 0.956
1 "ADC" 64 1000 33319300 33358582 76.739436161208 0.132 "rs2936005" 0.132
1 "ADIPOR1" 89 1000 201176583 201194323 86.9737219714261 0.541 "rs12733285" 0.541
1 "AFAR3" 68 1000 19465062 19473022 72.2642364158183 0.339 "rs710865" 0.339
1 "AGL" 169 1000 100088227 100162167 165.349730490295 0.565 "rs2307130" 0.565
1 "AGRN" 19 1000 945365 981355 12.3744932171763 0.869 "rs10907177" 0.869
1 "AGT" 228 1000 228904891 228916959 238.068583605547 0.31 "rs2478520" 0.31
1 "AGTRAP" 87 1000 11718728 11733415 98.5409669680166 0.187 "rs17375901" 0.187
1 "AHCTF1" 98 1e+05 245069024 245148302 129.163877123043 0.01911 "rs10924843" 0.01911
1 "AHCYL1" 76 1000 110328830 110367887 70.9597567928553 0.642 "rs11809936" 0.642
1 "AHDC1" 36 1000 27733342 27802730 43.5129774917392 0.182 "rs6598891" 0.182
1 "AIDA" 6 1000 220907977 220952487 6.05551587814051 0.417 "rs2378597" 0.417
1 "AIM1L" 132 1000 26520936 26543030 119.524017172845 0.774 "rs11583897" 0.774
1 "AJAP1" 359 1000 4614964 4743711 386.916899187417 0.149 "rs397852" 0.149
1 "AK2" 52 1000 33246172 33275079 55.2484418648144 0.353 "rs735402" 0.353
1 "AK3L1" 132 1000 65385819 65465763 131.455797449121 0.497 "rs10889531" 0.497
1 "AK5" 417 1000 77520329 77798242 452.894052466161 0.109 "rs10493605" 0.109
1 "AKIRIN1" 61 1000 39229503 39243566 54.131957509009 0.721 "rs10465799" 0.721
1 "AKR1A1" 53 1000 45789084 45808308 56.900909053917 0.332 "rs12049503" 0.332
1 "AKR7A2" 85 1000 19503048 19511227 67.0053837683338 0.925 "rs1535037" 0.925
1 "ALDH4A1" 75 1000 19070512 19101659 69.4217007472034 0.66 "rs6603918" 0.66
1 "ALDH9A1" 176 1000 163898072 163934524 189.858144022716 0.225 "rs12044709" 0.225
1 "ALG14" 157 1000 95220884 95311071 152.658592782373 0.583 "rs2148366" 0.583
1 "ALPL" 177 1000 21708444 21777492 161.19060955805 0.797 "rs12739477" 0.797
1 "ALX3" 66 1e+05 110404519 110414845 81.4053895891833 0.09581 "rs682202" 0.09581
1 "AMIGO1" 72 1000 109850968 109853859 85.8939450795847 0.126 "rs4370783" 0.126
1 "AMPD2" 66 1000 109963981 109976200 61.9363632708329 0.619 "rs12024479" 0.619
1 "AMY1A-3" 18 1000 104093801 104102834 10.3188589651081 0.921 "rs7540208" 0.921
1 "AMY1B-1" 3 1000 103999847 104008695 3.76486038528627 0.288 "rs1178000" 0.288
1 "AMY1C-1" 3 1000 103999825 104008695 0.371821396987511 0.946 "rs1178000" 0.946
1 "AMY1C-3" 18 1000 104093963 104102833 18.692251048746 0.411 "rs7540208" 0.411
1 "AMY2A" 11 1000 103961521 103969923 15.7927765268544 0.149 "rs17014930" 0.149
1 "AMY2B" 19 1000 103898844 103923672 16.8356676259264 0.601 "rs4847096" 0.601
1 "ANGEL2" 51 1000 211232146 211255791 49.2603016492433 0.543 "rs975558" 0.543
1 "ANGPTL3" 48 1000 62835774 62843768 53.9971188472731 0.256 "rs17123740" 0.256
1 "ANKRD13C" 75 1000 70497272 70593005 67.081595435702 0.731 "rs12121995" 0.731
1 "ANKRD35" 36 1000 144260565 144279883 29.6139155027407 0.765 "rs1887803" 0.765
1 "ANP32E" 47 1000 148457478 148475084 41.9322280054774 0.682 "rs6679147" 0.682
1 "ANXA9" 68 1000 149221122 149234738 54.6141153763897 0.88 "rs4970934" 0.88
1 "AOF2" 49 1000 23218532 23282771 60.2040516689259 0.131 "rs17278869" 0.131
1 "APITD1" 58 1000 10412745 10434797 59.6342237687907 0.416 "rs607941" 0.416
1 "APOA1BP" 77 1000 154828181 154830715 90.969160942376 0.132 "rs11264496" 0.132
1 "APOA2" 86 1000 159458706 159460042 96.9518409360383 0.197 "rs12122674" 0.197
1 "ARHGAP29" 135 1000 94407050 94475895 146.408939773723 0.237 "rs1931571" 0.237
1 "ARHGAP30" 71 1000 159283355 159306384 70.3641679261273 0.499 "rs4656978" 0.499
1 "ARHGEF10L" 178 1e+05 17738916 17896957 208.301280564581 0.05964 "rs6702679" 0.05964
1 "ARHGEF11" 203 1000 155171255 155281786 196.562241296032 0.614 "rs2768761" 0.614
1 "ARHGEF16" 53 1000 3361006 3387537 39.258631138126 0.92 "rs2794362" 0.92
1 "ARHGEF19" 71 1000 16397185 16411691 80.3743952354917 0.209 "rs4537547" 0.209
1 "ARID1A" 25 1000 26895108 26981188 19.0648614333324 0.794 "rs6674802" 0.794
1 "ARID4B" 124 1e+05 233396832 233558155 162.978540156301 0.01083 "rs12117563" 0.01083
1 "ARL8A" 105 1e+05 200368599 200380489 130.409305374972 0.04704 "rs11581381" 0.04704
1 "ARNT" 59 1000 149048809 149115810 65.1649523399357 0.271 "rs267728" 0.271
1 "ARV1" 83 1000 229181445 229203102 85.7625668261768 0.396 "rs12033207" 0.396
1 "ASB17" 125 1000 76157147 76170704 123.742123721512 0.515 "rs7523573" 0.515
1 "ASH1L" 49 1e+05 153571675 153798948 68.5349591068615 0.03404 "rs12407219" 0.03404
1 "ASPM" 119 1000 195319879 195382447 105.551851805883 0.806 "rs12031996" 0.806
1 "ASTN1" 365 1000 175096825 175400647 299.163098294027 0.995 "rs7514506" 0.995
