"Chr" "Gene" "nSNPs" "nSims" "Start" "Stop" "Test" "Pvalue" "Best-SNP" "SNP-pvalue"
1 "A3GALT2" 79 1000 33544953 33559286 71.407913104312 0.716 "rs12142578" 0.716
1 "AADACL3" 107 1000 12698704 12711313 90.1153415467847 0.88 "rs3000865" 0.88
1 "AADACL4" 91 1000 12627152 12649684 101.909693948035 0.204 "rs6675673" 0.204
1 "ABL2" 160 1000 177335084 177465390 149.611656710002 0.711 "rs2816169" 0.711
1 "ACADM" 132 1e+05 75962630 76001943 161.20288495109 0.04272 "rs11164040" 0.04272
1 "ACBD6" 263 1e+05 178523987 178738102 299.184664873969 0.06185 "rs12565152" 0.06185
1 "ACOT11" 181 1000 54786488 54873005 196.220164112124 0.208 "rs1617287" 0.208
1 "ACOT7" 74 1000 6246918 6376413 61.6801854224045 0.846 "rs17029376" 0.846
1 "ACP6" 96 1000 145585791 145609258 108.303223067576 0.184 "rs3766509" 0.184
1 "ACTA1" 44 1000 227633615 227636466 34.2972657741915 0.853 "rs598392" 0.853
1 "ACTRT2" 86 1000 2927905 2929327 77.1331256499236 0.742 "rs12747179" 0.742
1 "ADAM15" 46 1000 153290385 153301876 31.7189098273081 0.946 "rs11264298" 0.946
1 "ADAM30" 73 1000 120237678 120240636 83.750225013336 0.183 "rs835573" 0.183
1 "ADAR" 80 1000 152821157 152867061 68.9588255858167 0.806 "rs9427092" 0.806
1 "ADC" 64 1000 33319300 33358582 70.6615346392118 0.265 "rs804428" 0.265
1 "ADIPOR1" 89 1000 201176583 201194323 100.675507308981 0.187 "rs10920542" 0.187
1 "AFAR3" 68 1000 19465062 19473022 77.389897971047 0.204 "rs1063986" 0.204
1 "AGL" 169 1000 100088227 100162167 161.268322041396 0.652 "rs12136335" 0.652
1 "AGRN" 19 1000 945365 981355 18.7958684273489 0.47 "rs9651273" 0.47
1 "AGT" 228 1000 228904891 228916959 247.931121950654 0.174 "rs2478520" 0.174
1 "AGTRAP" 87 1e+05 11718728 11733415 109.365015922733 0.0528 "rs13306567" 0.0528
1 "AHCTF1" 98 1e+05 245069024 245148302 133.032405074631 0.01071 "rs10924843" 0.01071
1 "AHCYL1" 76 1000 110328830 110367887 69.4151382762784 0.69 "rs11809936" 0.69
1 "AHDC1" 36 1000 27733342 27802730 38.2886058372653 0.366 "rs4908343" 0.366
1 "AIDA" 6 1000 220907977 220952487 5.62903724049297 0.466 "rs17011714" 0.466
1 "AIM1L" 132 1000 26520936 26543030 126.90200891544 0.609 "rs12404062" 0.609
1 "AJAP1" 359 1000 4614964 4743711 368.525850777318 0.353 "rs12133924" 0.353
1 "AK2" 52 1000 33246172 33275079 57.2054302101825 0.288 "rs1012884" 0.288
1 "AK3L1" 132 1000 65385819 65465763 137.137900883235 0.362 "rs7415829" 0.362
1 "AK5" 417 1000 77520329 77798242 405.77279977951 0.644 "rs17381664" 0.644
1 "AKIRIN1" 61 1000 39229503 39243566 62.8665144559604 0.41 "rs11205591" 0.41
1 "AKR1A1" 53 1000 45789084 45808308 51.5693611126702 0.53 "rs487174" 0.53
1 "AKR7A2" 85 1000 19503048 19511227 65.2574644528117 0.945 "rs1063986" 0.945
1 "ALDH4A1" 75 1000 19070512 19101659 76.6942247116351 0.424 "rs9426794" 0.424
1 "ALDH9A1" 176 1000 163898072 163934524 135.313720472357 0.99 "rs10800152" 0.99
1 "ALG14" 157 1000 95220884 95311071 149.621454312238 0.65 "rs12032033" 0.65
1 "ALPL" 177 1000 21708444 21777492 172.333740171512 0.585 "rs4654750" 0.585
1 "ALX3" 66 1000 110404519 110414845 65.8802133762891 0.481 "rs682202" 0.481
1 "AMIGO1" 72 1e+05 109850968 109853859 90.7650105448585 0.06682 "rs1149172" 0.06682
1 "AMPD2" 66 1000 109963981 109976200 62.9415427862564 0.584 "rs568686" 0.584
1 "AMY1A-3" 18 1000 104093801 104102834 14.199447759992 0.716 "rs1566154" 0.716
1 "AMY1B-1" 3 1e+05 103999847 104008695 7.47516556766068 0.0582 "rs11577592" 0.0582
1 "AMY1C-1" 3 1000 103999825 104008695 1.93503170624045 0.586 "rs11577592" 0.586
1 "AMY1C-3" 18 1000 104093963 104102833 15.246177875221 0.645 "rs1566154" 0.645
1 "AMY2A" 11 1000 103961521 103969923 6.02039462310041 0.872 "rs11577592" 0.872
1 "AMY2B" 19 1000 103898844 103923672 12.3744932171763 0.869 "rs11577592" 0.869
1 "ANGEL2" 51 1000 211232146 211255791 46.5456410975893 0.651 "rs6540771" 0.651
1 "ANGPTL1" 49 1000 177085292 177106838 43.3138543940446 0.702 "rs11579384" 0.702
1 "ANGPTL3" 48 1e+05 62835774 62843768 68.6128808293858 0.02699 "rs17123740" 0.02699
1 "ANKRD13C" 75 1000 70497272 70593005 58.5737770901073 0.919 "rs269277" 0.919
1 "ANKRD35" 36 1000 144260565 144279883 32.9800259085072 0.613 "rs10797652" 0.613
1 "ANXA9" 68 1000 149221122 149234738 60.4441511771146 0.731 "rs955955" 0.731
1 "AOF2" 49 1000 23218532 23282771 60.0452486987127 0.134 "rs522802" 0.134
1 "APITD1" 58 1000 10412745 10434797 60.9585989073387 0.37 "rs11588734" 0.37
1 "APOA1BP" 77 1000 154828181 154830715 77.1424525797124 0.474 "rs2365714" 0.474
1 "APOA2" 86 1000 159458706 159460042 100.828311557255 0.131 "rs12122674" 0.131
1 "ARHGAP29" 135 1e+05 94407050 94475895 160.335397442982 0.06749 "rs3789452" 0.06749
1 "ARHGAP30" 71 1000 159283355 159306384 79.2477666598789 0.235 "rs12133979" 0.235
1 "ARHGEF10L" 178 1000 17738916 17896957 190.151550955519 0.253 "rs3766307" 0.253
1 "ARHGEF11" 203 1000 155171255 155281786 169.13838328336 0.96 "rs2068299" 0.96
1 "ARHGEF16" 53 1000 3361006 3387537 44.8350984007456 0.78 "rs12562167" 0.78
1 "ARHGEF19" 71 1000 16397185 16411691 65.5590250978471 0.66 "rs6656611" 0.66
1 "ARID1A" 25 1000 26895108 26981188 13.6173225545988 0.968 "rs11809021" 0.968
1 "ARID4B" 124 1e+05 233396832 233558155 161.271582454265 0.01371 "rs12117563" 0.01371
1 "ARL8A" 105 1e+06 200368599 200380489 160.046218919685 0.000436 "rs6676433" 0.000436
1 "ARNT" 59 1000 149048809 149115810 48.1340309876796 0.843 "rs12750810" 0.843
1 "ARV1" 83 1000 229181445 229203102 82.0453110934692 0.509 "rs12749386" 0.509
1 "ASB17" 125 1000 76157147 76170704 121.495540240931 0.572 "rs7519526" 0.572
1 "ASH1L" 49 1000 153571675 153798948 57.4367824069908 0.191 "rs12741581" 0.191
1 "ASPM" 119 1000 195319879 195382447 122.231892592776 0.401 "rs12031996" 0.401
1 "ASTN1" 365 1000 175096825 175400647 333.534497260767 0.88 "rs7514506" 0.88
1 "ATAD3B" 10 1e+05 1397026 1421445 25.5981177299522 0.00432 "rs1781145" 0.00432
1 "ATF6" 375 1000 160002707 160195476 369.942994124727 0.564 "rs12750977" 0.564
1 "ATG4C" 162 1000 63022390 63102638 155.075796113591 0.638 "rs1887587" 0.638
1 "ATP13A2" 64 1000 17185039 17210854 67.5456474040226 0.357 "rs2647168" 0.357
1 "ATP1A1" 62 1000 116717358 116748919 48.1177590680083 0.902 "rs6696907" 0.902
1 "ATP1B1" 185 1000 167342570 167368584 171.515098371665 0.753 "rs11809180" 0.753
1 "ATP2B4" 147 1000 201862550 201979832 137.830475934513 0.694 "rs2032018" 0.694
1 "ATP5F1" 103 1000 111793265 111806048 109.887452959255 0.303 "rs2095731" 0.303
1 "ATPAF1" 123 1000 46870997 46906686 118.336384916459 0.602 "rs11211343" 0.602
1 "ATPIF1" 68 1000 28435197 28437198 65.7724518283172 0.554 "rs502273" 0.554
1 "ATXN7L2" 73 1000 109828083 109836879 58.6332430115588 0.889 "rs1149172" 0.889
1 "AURKAIP1" 3 1000 1298972 1300681 0.926617926327787 0.819 "rs2649588" 0.819
1 "B3GALNT2" 130 1000 233679867 233734404 147.175737229988 0.144 "rs291395" 0.144
1 "B3GALT2" 52 1000 191414798 191422347 32.931938663207 0.982 "rs12132411" 0.982
1 "B3GALT6" 33 1000 1157491 1160283 25.0792088798276 0.837 "rs6603787" 0.837
1 "BAI2" 60 1000 31965304 32002235 58.4921453813056 0.531 "rs2228552" 0.531
1 "BAT2D1" 208 1000 169721289 169829273 220.577622350841 0.262 "rs2901543" 0.262
1 "BATF3" 83 1000 210926382 210939950 82.0132373780561 0.51 "rs2174780" 0.51
1 "BCAR3" 105 1000 93799936 93919973 98.5298074491483 0.659 "rs6656270" 0.659
1 "BCAS2" 42 1e+05 114911703 114925788 54.5993274147287 0.09203 "rs178445" 0.09203
1 "BCL10" 133 1000 85504047 85516171 152.194805235227 0.122 "rs17382526" 0.122
1 "BEST4" 44 1000 45021843 45026013 50.0096730461713 0.247 "rs7525308" 0.247
1 "BGLAP" 56 1000 154478574 154479736 51.8934737413169 0.631 "rs2842861" 0.631
1 "BLZF1" 140 1000 167603817 167632404 129.50051914799 0.727 "rs12057602" 0.727
1 "BOLA1" 20 1000 148137824 148138969 13.9105925719318 0.835 "rs6700818" 0.835
1 "BRDT" 82 1000 92187515 92252573 95.2087157325544 0.151 "rs6700124" 0.151
1 "BRP44" 58 1000 166153933 166171857 56.8532196724338 0.518 "rs11590762" 0.518
1 "BSND" 141 1000 55237204 55247053 128.528772307146 0.766 "rs2479398" 0.766
1 "BTF3L4" 54 1000 52294560 52326650 46.1631643440619 0.767 "rs17107048" 0.767
1 "BTG2" 97 1e+05 201541286 201545352 118.621401014435 0.06719 "rs2486933" 0.06719
1 "C1orf101" 198 1000 242691315 242870285 223.268388837018 0.10517 "rs12133748" 0.10517
1 "C1orf105" 159 1000 170656452 170704589 151.671208907343 0.648 "rs7518039" 0.648
1 "C1orf106" 92 1000 199127291 199151486 85.3773776405145 0.674 "rs296522" 0.674
1 "C1orf107" 117 1000 208067955 208097531 110.756399917206 0.645 "rs6664791" 0.645
1 "C1orf109" 112 1000 37919828 37928779 103.613064372481 0.702 "rs12131931" 0.702
1 "C1orf110" 175 1000 161090710 161105229 167.581867778381 0.643 "rs10917638" 0.643
1 "C1orf111" 161 1000 160610138 160613268 156.701732463046 0.581 "rs164124" 0.581
1 "C1orf122" 23 1000 38046555 38047713 20.6410153313871 0.603 "rs582811" 0.603
1 "C1orf124" 58 1000 229540304 229556612 48.7965275874303 0.8 "rs480902" 0.8
1 "C1orf125" 305 1000 177601737 177790493 264.168443934051 0.956 "rs2274626" 0.956
1 "C1orf127" 96 1000 10929119 10946845 85.8335861480165 0.762 "rs12750845" 0.762
1 "C1orf129" 154 1000 169171259 169234570 169.358032797519 0.188 "rs11266740" 0.188
1 "C1orf130" 78 1000 24755188 24808403 73.5366794318515 0.622 "rs12079237" 0.622
1 "C1orf135" 53 1e+05 26033083 26058435 74.2371927669386 0.02867 "rs1044183" 0.02867
1 "C1orf14" 95 1e+05 181135622 181189176 123.724164959024 0.02548 "rs3123484" 0.02548
1 "C1orf142" 70 1000 225989319 226035550 57.5271163331741 0.857 "rs6685794" 0.857
1 "C1orf144" 57 1000 16566169 16597227 60.0448140802706 0.366 "rs11260756" 0.366
1 "C1orf146" 67 1000 92456160 92483955 68.8362277807316 0.415 "rs3131816" 0.415
1 "C1orf150" 80 1000 245779073 245806471 60.0798766747678 0.953 "rs12405268" 0.953
1 "C1orf151" 67 1000 19796053 19827761 72.6598563107565 0.297 "rs4912122" 0.297
1 "C1orf156" 141 1000 168028295 168030655 117.375362935714 0.927 "rs10489178" 0.927
1 "C1orf157" 94 1000 202268197 202277011 90.570264062265 0.581 "rs12121394" 0.581
1 "C1orf159" 40 1000 1007060 1041599 41.0808122949435 0.423 "rs9651273" 0.423
1 "C1orf161" 51 1000 116455898 116479384 45.633730842855 0.686 "rs911221" 0.686
1 "C1orf163" 79 1000 52925101 52936626 94.616394375657 0.11103 "rs2485916" 0.11103
1 "C1orf173" 203 1e+05 74806382 74912010 243.721739219854 0.02666 "rs13375787" 0.02666
1 "C1orf174" 70 1000 3795556 3806709 63.0899636266855 0.708 "rs4648347" 0.708
1 "C1orf175" 166 1e+05 54880031 54948527 193.954372150857 0.06788 "rs17110952" 0.06788
1 "C1orf176" 70 1000 40747019 40754801 62.2388873189138 0.734 "rs2036198" 0.734
1 "C1orf182" 59 1000 154573728 154583409 51.9392997949568 0.731 "rs2842863" 0.731
1 "C1orf183" 124 1000 112069892 112099942 139.611420906932 0.16 "rs12144279" 0.16
1 "C1orf189" 49 1000 152438471 152445433 47.6239690858856 0.529 "rs10908751" 0.529
1 "C1orf192" 83 1000 159601144 159604288 79.4507301817463 0.59 "rs12140361" 0.59
1 "C1orf198" 135 1000 229039488 229070900 141.34464672488 0.337 "rs6704527" 0.337
1 "C1orf21" 261 1000 182622772 182864778 280.439906640214 0.195 "rs1999996" 0.195
1 "C1orf210" 79 1000 43520143 43523837 53.0695000654209 0.989 "rs2483688" 0.989
1 "C1orf212" 67 1000 35091710 35097932 59.6589556504015 0.726 "rs1570099" 0.726
1 "C1orf213" 63 1e+05 23568050 23570866 77.9281395820451 0.09754 "rs12127143" 0.09754
1 "C1orf216" 27 1000 35952063 35957377 31.1012912432665 0.267 "rs11264194" 0.267
