"Chr" "Gene" "nSNPs" "nSims" "Start" "Stop" "Test" "Pvalue" "Best-SNP" "SNP-pvalue"
1 "A3GALT2" 82 1000 33544953 33559286 80.442308553221 0.528 "rs10798939" 0.528
1 "AADACL3" 109 1000 12698704 12711313 112.417017554822 0.392 "rs2489256" 0.392
1 "AADACL4" 72 1000 12627152 12649684 81.8565865271703 0.2 "rs12402628" 0.2
1 "ABL2" 160 1e+05 177335084 177465390 207.473124587682 0.00684 "rs1490311" 0.00684
1 "ACADM" 131 1000 75962630 76001943 120.413296500829 0.736 "rs4638068" 0.736
1 "ACBD6" 260 1000 178523987 178738102 289.068457777558 0.104 "rs7527274" 0.104
1 "ACOT11" 172 1000 54786488 54873005 170.453642381413 0.519 "rs10888855" 0.519
1 "ACOT7" 82 1000 6246918 6376413 76.2232956817065 0.659 "rs3789512" 0.659
1 "ACP6" 97 1000 145585791 145609258 92.5111149354959 0.61 "rs1418651" 0.61
1 "ACTA1" 44 1000 227633615 227636466 45.0687182132839 0.427 "rs10916487" 0.427
1 "ACTRT2" 81 1000 2927905 2929327 82.3924944615868 0.436 "rs10489588" 0.436
1 "ADAM15" 49 1e+05 153290385 153301876 65.5773597556691 0.05686 "rs11264300" 0.05686
1 "ADAM30" 71 1000 120237678 120240636 79.6281512828939 0.226 "rs7547168" 0.226
1 "ADAR" 82 1000 152821157 152867061 78.4045000740753 0.592 "rs7556449" 0.592
1 "ADC" 56 1e+05 33319300 33358582 72.0985540410669 0.07249 "rs12031625" 0.07249
1 "ADIPOR1" 92 1e+05 201176583 201194323 121.149855684176 0.02251 "rs6672643" 0.02251
1 "AFAR3" 69 1e+05 19465062 19473022 90.5453499485786 0.04206 "rs761304" 0.04206
1 "AGL" 173 1000 100088227 100162167 148.529851399737 0.911 "rs1493617" 0.911
1 "AGRN" 20 1000 945365 981355 14.8131051033066 0.787 "rs4074137" 0.787
1 "AGT" 227 1000 228904891 228916959 251.145878897478 0.13 "rs6659928" 0.13
1 "AGTRAP" 92 1e+05 11718728 11733415 116.362080935209 0.04397 "rs13306567" 0.04397
1 "AHCTF1" 106 1000 245069024 245148302 95.0209648907488 0.769 "rs12118999" 0.769
1 "AHCYL1" 64 1000 110328830 110367887 65.3678967510361 0.429 "rs333076" 0.429
1 "AHDC1" 39 1000 27733342 27802730 36.4236177702275 0.588 "rs11581624" 0.588
1 "AIDA" 5 1000 220907977 220952487 6.95511399174885 0.224 "rs17011681" 0.224
1 "AIM1L" 138 1e+05 26520936 26543030 175.671485190072 0.01666 "rs11247926" 0.01666
1 "AJAP1" 350 1e+05 4614964 4743711 405.982854850414 0.0208 "rs6703429" 0.0208
1 "AK2" 52 1000 33246172 33275079 53.5922543069225 0.413 "rs11581013" 0.413
1 "AK3L1" 133 1000 65385819 65465763 131.073055945229 0.531 "rs10789171" 0.531
1 "AK5" 412 1000 77520329 77798242 448.622637968917 0.10331 "rs10782651" 0.10331
1 "AKIRIN1" 56 1000 39229503 39243566 46.6490879301667 0.809 "rs4475740" 0.809
