"Chr" "Gene" "nSNPs" "nSims" "Start" "Stop" "Test" "Pvalue" "Best-SNP" "SNP-pvalue"
1 "A3GALT2" 79 1000 33544953 33559286 65.6377168887034 0.859 "rs6425814" 0.859
1 "AADACL3" 110 1000 12698704 12711313 115.627919616739 0.338 "rs3000860" 0.338
1 "AADACL4" 83 1000 12627152 12649684 70.5130697657567 0.834 "rs3000860" 0.834
1 "ACADM" 131 1000 75962630 76001943 138.93272619795 0.301 "rs5745309" 0.301
1 "ACBD6" 262 1000 178523987 178738102 278.508858238497 0.231 "rs12565492" 0.231
1 "ACOT11" 179 1000 54786488 54873005 183.15978051447 0.4 "rs501260" 0.4
1 "ACOT7" 75 1e+05 6246918 6376413 108.711359481859 0.00665 "rs2103673" 0.00665
1 "ACP6" 97 1000 145585791 145609258 85.486988194939 0.792 "rs7512513" 0.792
1 "ACTA1" 42 1000 227633615 227636466 38.8733915565571 0.609 "rs728614" 0.609
1 "ACTRT2" 82 1000 2927905 2929327 76.8179846817249 0.641 "rs10797373" 0.641
1 "ADAM15" 47 1000 153290385 153301876 35.2163501879897 0.897 "rs2306125" 0.897
1 "ADAM30" 72 1000 120237678 120240636 87.4358922036386 0.104 "rs2493394" 0.104
1 "ADAR" 81 1000 152821157 152867061 74.7899790221206 0.673 "rs10908421" 0.673
1 "ADC" 52 1000 33319300 33358582 48.0745631519507 0.629 "rs1012884" 0.629
1 "ADIPOR1" 89 1000 201176583 201194323 86.7418087805383 0.548 "rs782810" 0.548
1 "AFAR3" 69 1000 19465062 19473022 67.2262175696455 0.538 "rs17393888" 0.538
1 "AGL" 170 1000 100088227 100162167 175.016058145785 0.38 "rs6701658" 0.38
1 "AGRN" 19 1000 945365 981355 13.7687705933468 0.797 "rs11579015" 0.797
1 "AGT" 228 1000 228904891 228916959 229.319394559 0.463 "rs2493144" 0.463
1 "AGTRAP" 89 1000 11718728 11733415 71.8426744627723 0.908 "rs4845877" 0.908
1 "AHCTF1" 101 1000 245069024 245148302 92.307098378131 0.72 "rs3935608" 0.72
1 "AHCYL1" 75 1000 110328830 110367887 90.8260182215339 0.103 "rs17025223" 0.103
1 "AHDC1" 36 1e+05 27733342 27802730 57.7476058214593 0.01218 "rs6677501" 0.01218
1 "AIDA" 14 1000 220907977 220952487 13.690689590089 0.473 "rs17465637" 0.473
1 "AIM1L" 134 1000 26520936 26543030 130.393695238375 0.572 "rs4072445" 0.572
1 "AJAP1" 356 1e+05 4614964 4743711 403.433941511447 0.0419 "rs10915587" 0.0419
1 "AK2" 51 1000 33246172 33275079 59.9048805084722 0.184 "rs1012884" 0.184
1 "AK3L1" 134 1000 65385819 65465763 114.914565864685 0.882 "rs12407600" 0.882
1 "AK5" 409 1e+05 77520329 77798242 461.376451209828 0.03741 "rs12027952" 0.03741
1 "AKIRIN1" 54 1000 39229503 39243566 54.9877233281949 0.437 "rs4475740" 0.437
1 "AKR1A1" 51 1000 45789084 45808308 39.1564842329038 0.887 "rs3014210" 0.887
1 "AKR7A2" 84 1000 19503048 19511227 73.4409954664987 0.788 "rs12146076" 0.788
1 "ALDH4A1" 77 1000 19070512 19101659 83.0311586206604 0.299 "rs4920549" 0.299
1 "ALDH9A1" 174 1000 163898072 163934524 181.810805003843 0.327 "rs11799886" 0.327
1 "ALG14" 156 1000 95220884 95311071 152.069785876372 0.574 "rs884821" 0.574
1 "ALPL" 178 1000 21708444 21777492 149.365282128233 0.942 "rs4654755" 0.942
1 "ALX3" 65 1000 110404519 110414845 60.2990431133959 0.642 "rs11802453" 0.642
1 "AMIGO1" 68 1000 109850968 109853859 75.7391601409443 0.243 "rs7550711" 0.243
1 "AMPD2" 64 1000 109963981 109976200 51.8176756268195 0.863 "rs6663547" 0.863
1 "AMY1A-3" 17 1000 104093801 104102834 20.1825264586659 0.265 "rs11185098" 0.265
1 "AMY1B-1" 2 1000 103999847 104008695 3.01015579421972 0.222 "rs1150075" 0.222
1 "AMY1C-1" 2 1000 103999825 104008695 0.962533643048893 0.618 "rs1150075" 0.618
1 "AMY1C-3" 17 1000 104093963 104102833 16.9611680712682 0.457 "rs11185098" 0.457
1 "AMY2A" 10 1000 103961521 103969923 5.47866008514071 0.857 "rs11184556" 0.857
1 "AMY2B" 19 1000 103898844 103923672 7.36479614895301 0.992 "rs1058607" 0.992
1 "ANGEL2" 52 1e+05 211232146 211255791 84.9602452440753 0.002647 "rs6680470" 0.002647
1 "ANGPTL3" 41 1e+05 62835774 62843768 54.1040802420199 0.0825 "rs11207998" 0.0825
1 "ANKRD13C" 74 1000 70497272 70593005 81.5183731462154 0.257 "rs269273" 0.257
1 "ANKRD35" 35 1000 144260565 144279883 32.9994058047946 0.565 "rs17352281" 0.565
1 "ANXA9" 61 1000 149221122 149234738 63.6601328359339 0.383 "rs6684154" 0.383
1 "AOF2" 49 1000 23218532 23282771 45.0244316451285 0.635 "rs10917347" 0.635
1 "APITD1" 58 1e+05 10412745 10434797 72.7367409348191 0.09213 "rs505141" 0.09213
1 "APOA1BP" 75 1000 154828181 154830715 85.8490362821809 0.184 "rs1361745" 0.184
1 "APOA2" 84 1e+05 159458706 159460042 107.978803150662 0.04016 "rs11265577" 0.04016
1 "ARHGAP29" 132 1000 94407050 94475895 124.032703595756 0.677 "rs6657063" 0.677
1 "ARHGAP30" 74 1000 159283355 159306384 81.1203180272576 0.267 "rs3813610" 0.267
1 "ARHGEF10L" 175 1000 17738916 17896957 183.210563101083 0.32 "rs12063085" 0.32
1 "ARHGEF11" 202 1000 155171255 155281786 207.578127039309 0.379 "rs1055106" 0.379
1 "ARHGEF16" 54 1000 3361006 3387537 43.3447116905914 0.85 "rs2493262" 0.85
1 "ARHGEF19" 72 1000 16397185 16411691 75.5662783229625 0.364 "rs12058819" 0.364
1 "ARID1A" 25 1000 26895108 26981188 28.8319964030312 0.271 "rs12753981" 0.271
1 "ARID4B" 123 1000 233396832 233558155 136.640089457927 0.189 "rs4659821" 0.189
1 "ARL8A" 103 1000 200368599 200380489 101.154569480616 0.533 "rs4950827" 0.533
1 "ARNT" 50 1000 149048809 149115810 45.0980111406809 0.67 "rs10305700" 0.67
1 "ARV1" 83 1000 229181445 229203102 85.0847314674517 0.416 "rs12033207" 0.416
1 "ASB17" 124 1000 76157147 76170704 114.761905974303 0.712 "rs1251588" 0.712
1 "ASH1L" 47 1000 153571675 153798948 40.7965536268563 0.726 "rs11264355" 0.726
1 "ASPM" 118 1e+05 195319879 195382447 139.953686088814 0.082 "rs857021" 0.082
1 "ASTN1" 361 1000 175096825 175400647 340.779012647742 0.771 "rs11581173" 0.771
1 "ATAD3B" 10 1000 1397026 1421445 5.20598419849463 0.877 "rs9439462" 0.877
1 "ATF6" 371 1e+05 160002707 160195476 409.982553167285 0.07955 "rs1503813" 0.07955
1 "ATG4C" 155 1000 63022390 63102638 161.642186873104 0.341 "rs2803242" 0.341
1 "ATP13A2" 64 1000 17185039 17210854 72.461010685142 0.219 "rs7550829" 0.219
1 "ATP1A1" 59 1e+05 116717358 116748919 84.9560975766546 0.01509 "rs12067801" 0.01509
1 "ATP1B1" 185 1000 167342570 167368584 183.564795207536 0.516 "rs12084964" 0.516
1 "ATP5F1" 106 1000 111793265 111806048 99.6914352654405 0.654 "rs1264874" 0.654
1 "ATPAF1" 93 1000 46870997 46906686 85.4683485056454 0.698 "rs10789491" 0.698
1 "ATPIF1" 67 1000 28435197 28437198 65.6728771299119 0.523 "rs6686978" 0.523
1 "ATXN7L2" 69 1000 109828083 109836879 73.1997840949811 0.342 "rs7550711" 0.342
1 "AURKAIP1" 3 1e+05 1298972 1300681 6.40391165669995 0.09353 "rs2765033" 0.09353
1 "B3GALNT2" 118 1000 233679867 233734404 135.677400166497 0.127 "rs11588513" 0.127
1 "B3GALT2" 51 1000 191414798 191422347 41.4720119504077 0.827 "rs10737622" 0.827
1 "B3GALT6" 34 1e+06 1157491 1160283 65.3689088757739 0.000968 "rs10907175" 0.000968
1 "BAI2" 60 1000 31965304 32002235 67.7043469090889 0.231 "rs4949465" 0.231
1 "BAT2D1" 211 1000 169721289 169829273 184.026678870761 0.91 "rs6670807" 0.91
1 "BATF3" 85 1000 210926382 210939950 85.7767735071099 0.456 "rs2501841" 0.456
1 "BCAR3" 107 1e+05 93799936 93919973 129.977262476584 0.06484 "rs17110111" 0.06484
1 "BCAS2" 44 1000 114911703 114925788 42.6159707163371 0.531 "rs1484835" 0.531
1 "BCL10" 131 1000 85504047 85516171 107.513215288893 0.934 "rs12043505" 0.934
1 "BEST4" 44 1e+05 45021843 45026013 59.7022567037409 0.05736 "rs11573587" 0.05736
1 "BGLAP" 58 1000 154478574 154479736 59.5779635561986 0.418 "rs2246476" 0.418
1 "BLZF1" 140 1e+05 167603817 167632404 166.508405359071 0.06261 "rs12057602" 0.06261
1 "BOLA1" 19 1000 148137824 148138969 19.6485202664902 0.416 "rs626785" 0.416
1 "BRDT" 83 1000 92187515 92252573 79.0957512477659 0.601 "rs11165906" 0.601
1 "BRP44" 59 1000 166153933 166171857 54.2194172906991 0.652 "rs2420" 0.652
1 "BSND" 131 1e+05 55237204 55247053 160.865253383291 0.03908 "rs17111412" 0.03908
1 "BTF3L4" 52 1000 52294560 52326650 49.9728737105755 0.554 "rs6686632" 0.554
1 "BTG2" 96 1000 201541286 201545352 93.7827093829419 0.545 "rs1891174" 0.545
1 "C1orf100" 173 1000 242582559 242619016 165.718074422942 0.641 "rs7541719" 0.641
1 "C1orf101" 204 1e+05 242691315 242870285 235.604846150912 0.06387 "rs3127456" 0.06387
1 "C1orf105" 159 1000 170656452 170704589 166.238195483453 0.331 "rs10489284" 0.331
1 "C1orf106" 90 1000 199127291 199151486 80.027677441767 0.765 "rs6694184" 0.765
1 "C1orf107" 119 1000 208067955 208097531 112.667825120392 0.646 "rs3766612" 0.646
1 "C1orf109" 111 1000 37919828 37928779 105.327161601542 0.634 "rs11264081" 0.634
1 "C1orf110" 177 1000 161090710 161105229 168.951514786417 0.655 "rs10753593" 0.655
1 "C1orf111" 161 1000 160610138 160613268 139.36868562791 0.89 "rs12745104" 0.89
1 "C1orf122" 23 1000 38046555 38047713 21.2143365855887 0.568 "rs12563037" 0.568
1 "C1orf124" 58 1000 229540304 229556612 56.9867523060765 0.513 "rs12088804" 0.513
1 "C1orf125" 309 1000 177601737 177790493 324.982014887422 0.255 "rs11805319" 0.255
1 "C1orf127" 97 1000 10929119 10946845 97.8400877828316 0.457 "rs3765895" 0.457
1 "C1orf129" 152 1000 169171259 169234570 148.941344293444 0.555 "rs16863900" 0.555
1 "C1orf130" 78 1e+05 24755188 24808403 97.7692743863461 0.06447 "rs9725784" 0.06447
1 "C1orf135" 54 1000 26033083 26058435 44.2297255157535 0.826 "rs11247751" 0.826
1 "C1orf14" 80 1000 181135622 181189176 75.4228752312569 0.624 "rs10911186" 0.624
1 "C1orf142" 72 1000 225989319 226035550 58.421082155588 0.876 "rs3088389" 0.876
1 "C1orf144" 57 1000 16566169 16597227 62.2764760225251 0.294 "rs4661736" 0.294
1 "C1orf146" 66 1e+05 92456160 92483955 96.3252544539343 0.0088 "rs12040689" 0.0088
1 "C1orf149" 49 1000 37730762 37752951 32.8469685176045 0.963 "rs41439344" 0.963
